MatchID,Date,SourceYear,ATP,Location,Tournament,Series,Court,Surface,Round,Best of,Player1,Player2,Player1Rank,Player2Rank,Player1Points,Player2Points,Player1B365Odds,Player2B365Odds,Player1PSOdds,Player2PSOdds,Player1MaxOdds,Player2MaxOdds,Player1AvgOdds,Player2AvgOdds,Player1Won
0,2015-01-05,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,3.0,Golubev A.,Chardy J.,72.0,31.0,691.0,1195.0,3.5,1.28,3.5,1.34,3.5,1.36,3.3,1.32,0
1,2015-01-05,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,3.0,Duckworth J.,Simon G.,125.0,21.0,430.0,1730.0,4.5,1.18,4.67,1.23,4.73,1.23,4.31,1.2,1
2,2015-01-05,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,3.0,Benneteau J.,Kokkinakis T.,25.0,149.0,1365.0,341.0,1.44,2.62,1.53,2.67,1.53,2.8,1.47,2.62,0
3,2015-01-05,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,3.0,Querrey S.,Tomic B.,35.0,53.0,1090.0,797.0,2.25,1.57,2.37,1.65,2.37,1.67,2.25,1.61,0
4,2015-01-05,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,1st Round,3.0,Coric B.,Haase R.,95.0,80.0,557.0,620.0,1.72,2.0,1.75,2.18,1.8,2.25,1.72,2.07,1
5,2015-01-05,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,1st Round,3.0,Roger-Vasselin E.,Muller G.,116.0,46.0,470.0,855.0,2.1,1.66,2.1,1.81,2.15,1.81,2.05,1.73,0
6,2015-01-05,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Becker B.,Bolelli S.,40.0,52.0,973.0,810.0,1.61,2.2,1.76,2.16,1.76,2.25,1.67,2.15,0
7,2015-01-05,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Lorenzi P.,Brown D.,63.0,98.0,759.0,549.0,2.37,1.53,2.55,1.57,2.62,1.6,2.4,1.54,0
8,2015-01-05,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Dodig I.,Safwat M.,89.0,289.0,575.0,168.0,1.16,5.0,1.17,5.84,1.19,5.84,1.16,5.05,1
9,2015-01-05,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Gasquet R.,Andujar P.,26.0,41.0,1350.0,950.0,1.2,4.33,1.24,4.44,1.26,4.84,1.21,4.15,1
10,2015-01-05,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Karlovic I.,Rosol L.,27.0,30.0,1320.0,1210.0,1.44,2.62,1.53,2.65,1.53,2.75,1.49,2.54,1
11,2015-01-05,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Gabashvili T.,Verdasco F.,66.0,33.0,730.0,1135.0,2.75,1.4,3.09,1.42,3.09,1.47,2.81,1.41,0
12,2015-01-06,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,3.0,Berlocq C.,Dolgopolov O.,71.0,23.0,700.0,1455.0,3.75,1.25,3.86,1.3,3.86,1.3,3.61,1.27,0
13,2015-01-06,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,3.0,Hewitt L.,Groth S.,84.0,85.0,595.0,586.0,1.4,2.75,1.4,3.17,1.45,3.17,1.4,2.83,0
14,2015-01-06,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,3.0,Johnson S.,Matosevic M.,37.0,77.0,999.0,657.0,2.0,1.72,2.14,1.78,2.16,1.84,2.03,1.74,1
15,2015-01-06,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,3.0,Klizan M.,Melzer J.,34.0,110.0,1094.0,505.0,1.66,2.1,1.74,2.2,1.77,2.3,1.66,2.16,1
16,2015-01-06,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,3.0,Anderson K.,Kubot L.,16.0,177.0,2080.0,282.0,1.28,3.5,1.28,4.06,1.3,4.06,1.28,3.58,0
17,2015-01-06,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,3.0,Kukushkin M.,Copil M.,69.0,201.0,705.0,242.0,1.53,2.37,1.48,2.84,1.58,2.84,1.5,2.53,1
18,2015-01-06,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,3.0,Williams R.,Millman J.,220.0,153.0,221.0,328.0,2.75,1.4,2.8,1.49,2.8,1.5,2.7,1.44,0
19,2015-01-06,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,3.0,Kudla D.,Nieminen J.,123.0,73.0,440.0,689.0,2.1,1.66,2.29,1.69,2.5,1.71,2.19,1.65,0
20,2015-01-06,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,1st Round,3.0,Lacko L.,Bedene A.,88.0,156.0,576.0,325.0,1.83,1.83,1.85,2.05,1.9,2.05,1.81,1.95,0
21,2015-01-06,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,1st Round,3.0,Berankis R.,Vanni L.,83.0,148.0,605.0,353.0,1.33,3.25,1.34,3.5,1.36,3.55,1.31,3.32,1
22,2015-01-06,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,1st Round,3.0,Gonzalez A.,Carreno-Busta P.,109.0,49.0,507.0,841.0,2.5,1.5,2.76,1.5,2.76,1.59,2.48,1.52,0
