Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC-AUC,LogLoss,Fold,ValidationYear,MaxLeafNodes,NEstimators,LearningRate
AdaBoost leaves 2 est 50 lr 0.1,0.6295554665598718,0.6292564296355417,0.6352636127917026,0.5936995153473344,0.6137787056367432,0.6829522109631333,0.6582557100975641,1,2019,2,50,0.1
AdaBoost leaves 2 est 50 lr 0.1,0.6376929325751421,0.6383443302457387,0.6605657237936772,0.621283255086072,0.6403225806451613,0.6976113437381043,0.6492520209375298,2,2020,2,50,0.1
AdaBoost leaves 2 est 50 lr 0.1,0.638218151540383,0.6372893631470657,0.6254416961130742,0.614050303555941,0.6196936542669584,0.68856403422825,0.6509265438061606,3,2021,2,50,0.1
AdaBoost leaves 2 est 50 lr 0.1,0.6479371316306484,0.6476274469115307,0.6597222222222222,0.6012658227848101,0.6291390728476821,0.7084719834188085,0.6306786626874562,4,2022,2,50,0.1
AdaBoost leaves 2 est 100 lr 0.1,0.6291549859831799,0.6288929722155568,0.6335616438356164,0.5977382875605816,0.6151288445552785,0.6839617436204081,0.6459918256540405,1,2019,2,100,0.1
AdaBoost leaves 2 est 100 lr 0.1,0.6352558895207149,0.635996912405363,0.6588628762541806,0.6165884194053208,0.6370250606305577,0.6981056760986338,0.6373960802829247,2,2020,2,100,0.1
AdaBoost leaves 2 est 100 lr 0.1,0.6365528726061616,0.6358214064747028,0.6223776223776224,0.6175195143104943,0.6199390509360034,0.6892348223765482,0.640060194028268,3,2021,2,100,0.1
AdaBoost leaves 2 est 100 lr 0.1,0.6487229862475442,0.6484553330566507,0.6583904109589042,0.6083860759493671,0.6324013157894737,0.7101567826757181,0.6225976866022382,4,2022,2,100,0.1
AdaBoost leaves 2 est 50 lr 0.5,0.6175410492591109,0.61718053279714,0.6242317822651449,0.574313408723748,0.5982330668910392,0.6812529753464874,0.6407824757140232,1,2019,2,50,0.5
AdaBoost leaves 2 est 50 lr 0.5,0.6466287571080422,0.6470757729560546,0.6677631578947368,0.6353677621283255,0.6511627906976745,0.6975597957112041,0.6303933688894301,2,2020,2,50,0.5
AdaBoost leaves 2 est 50 lr 0.5,0.6323896752706079,0.6316848795601964,0.6178010471204188,0.614050303555941,0.6159199652022619,0.6880953158016438,0.6361821720726096,3,2021,2,50,0.5
AdaBoost leaves 2 est 50 lr 0.5,0.6463654223968566,0.6462079047223787,0.6504132231404959,0.622626582278481,0.6362166531932094,0.7066825018033775,0.6243928791750509,4,2022,2,50,0.5
AdaBoost leaves 2 est 100 lr 0.5,0.618342010412495,0.6179748139726762,0.6253298153034301,0.574313408723748,0.5987368421052631,0.6820511060269132,0.6393678728226198,1,2019,2,100,0.5
AdaBoost leaves 2 est 100 lr 0.5,0.6474411047928513,0.6479203675506493,0.6688632619439868,0.6353677621283255,0.651685393258427,0.6976774309520788,0.6306468757117653,2,2020,2,100,0.5
AdaBoost leaves 2 est 100 lr 0.5,0.6332223147377186,0.6323855268082637,0.6195079086115993,0.611448395490026,0.6154517677869926,0.6892761390378565,0.6349363468089105,3,2021,2,100,0.5
AdaBoost leaves 2 est 100 lr 0.5,0.6471512770137524,0.6469675466160733,0.6525,0.6194620253164557,0.635551948051948,0.7099520499214419,0.6275401918622997,4,2022,2,100,0.5
AdaBoost leaves 4 est 50 lr 0.1,0.6363636363636364,0.6360347661618255,0.6437282229965157,0.5969305331179321,0.6194467728415759,0.686112012893275,0.6564866705903424,1,2019,4,50,0.1
AdaBoost leaves 4 est 50 lr 0.1,0.6336311941510967,0.634431967178446,0.6577181208053692,0.6134585289514867,0.6348178137651822,0.698469155775494,0.6500700162320213,2,2020,4,50,0.1
AdaBoost leaves 4 est 50 lr 0.1,0.6357202331390508,0.634720786169265,0.62322695035461,0.6097137901127494,0.6163963174046471,0.6906909742885374,0.6515220226490428,3,2021,4,50,0.1
AdaBoost leaves 4 est 50 lr 0.1,0.6487229862475442,0.6484343348254429,0.6594827586206896,0.6052215189873418,0.6311881188118812,0.7084642634808644,0.6320562185136995,4,2022,4,50,0.1
AdaBoost leaves 4 est 100 lr 0.1,0.6359631557869443,0.635684782008954,0.641444539982803,0.6025848142164781,0.6214077467721782,0.6878330623709614,0.6415863798568158,1,2019,4,100,0.1
AdaBoost leaves 4 est 100 lr 0.1,0.6352558895207149,0.6361211563676352,0.6599326599326599,0.6134585289514867,0.6358475263584753,0.6987070697458022,0.6356146251043775,2,2020,4,100,0.1
AdaBoost leaves 4 est 100 lr 0.1,0.6365528726061616,0.636188048443959,0.6200686106346484,0.627059843885516,0.6235446313065977,0.6917100028678624,0.6379507894191385,3,2021,4,100,0.1
AdaBoost leaves 4 est 100 lr 0.1,0.6491159135559922,0.6489086478127254,0.6557514693534845,0.617879746835443,0.6362525458248472,0.7110041230644573,0.622133976698354,4,2022,4,100,0.1
AdaBoost leaves 4 est 50 lr 0.5,0.6275530636764117,0.627412196001391,0.627906976744186,0.6106623586429726,0.6191646191646192,0.683262096106739,0.6375359556985932,1,2019,4,50,0.5
AdaBoost leaves 4 est 50 lr 0.5,0.644191714053615,0.6451010870024955,0.6694772344013491,0.621283255086072,0.6444805194805194,0.7003989024235504,0.6288298027565581,2,2020,4,50,0.5
AdaBoost leaves 4 est 50 lr 0.5,0.6294754371357202,0.6298492393220734,0.6085879438480595,0.6392020815264527,0.6235194585448393,0.6895806324157332,0.6343137166953805,3,2021,4,50,0.5
AdaBoost leaves 4 est 50 lr 0.5,0.650294695481336,0.6500953566734848,0.6566164154103853,0.620253164556962,0.6379170056956875,0.7110979975098568,0.6238217213655162,4,2022,4,50,0.5
AdaBoost leaves 4 est 100 lr 0.5,0.6343612334801763,0.6342915820310244,0.6326530612244898,0.6260096930533118,0.6293138449045879,0.6837814584747491,0.6387792021494765,1,2019,4,100,0.5
AdaBoost leaves 4 est 100 lr 0.5,0.644191714053615,0.6450389650213594,0.66890756302521,0.622848200312989,0.6450567260940032,0.7005323985957789,0.6295477640063841,2,2020,4,100,0.5
AdaBoost leaves 4 est 100 lr 0.5,0.6344712739383847,0.6345530891321904,0.6152556580050293,0.6366001734605378,0.6257459505541347,0.6924429396075403,0.6337241225379363,3,2021,4,100,0.5
AdaBoost leaves 4 est 100 lr 0.5,0.6581532416502947,0.6579752517317365,0.6638935108153078,0.6313291139240507,0.6472019464720195,0.71349982460301,0.6266439860817593,4,2022,4,100,0.5
