Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC-AUC,LogLoss,Fold,ValidationYear,HiddenLayers,Activation,LearningRate,Epochs
ANN 8 sigmoid,0.6219463356027233,0.6215423426290322,0.6305506216696269,0.5735056542810986,0.6006768189509306,0.6745513081259199,0.6409334540367126,1,2019,[8],sigmoid,0.01,50
ANN 8 sigmoid,0.6490658001624695,0.6533368756080025,0.7134020618556701,0.5414710485133021,0.6156583629893239,0.7073089815167279,0.6349981427192688,2,2020,[8],sigmoid,0.01,50
ANN 8 sigmoid,0.6273938384679434,0.625781110577968,0.6181318681318682,0.585429314830876,0.6013363028953229,0.6798007356448907,0.6414439082145691,3,2021,[8],sigmoid,0.01,50
ANN 8 sigmoid,0.6333988212180747,0.6336528152452099,0.6210680321872714,0.6716772151898734,0.645381984036488,0.7038773851520272,0.6249432563781738,4,2022,[8],sigmoid,0.01,50
ANN 16 relu,0.6147376852222667,0.6146700140250294,0.6125611745513866,0.6066235864297254,0.609577922077922,0.6754212962309498,0.6420640349388123,1,2019,[16],relu,0.001,50
ANN 16 relu,0.6531275385865151,0.6549507253732606,0.6879432624113475,0.6071987480438185,0.6450540315876975,0.7178393181914309,0.6152163743972778,2,2020,[16],relu,0.001,50
ANN 16 relu,0.6486261448792673,0.6479639913144739,0.6346992153443767,0.6313963573287077,0.6330434782608696,0.6977266114713105,0.6255158185958862,3,2021,[16],relu,0.001,50
ANN 16 relu,0.6467583497053045,0.6468554531171257,0.6396327467482785,0.6613924050632911,0.6503306106573318,0.707171019476477,0.6214109659194946,4,2022,[16],relu,0.001,50
ANN 32 relu,0.6163396075290348,0.6161507902391954,0.6176470588235294,0.5936995153473344,0.6054365733113674,0.6720151259878792,0.6438339352607727,1,2019,[32],relu,0.001,50
ANN 32 relu,0.6352558895207149,0.6384196696696697,0.6826923076923077,0.5555555555555556,0.6125970664365833,0.7000618576322803,0.6381131410598755,2,2020,[32],relu,0.001,50
ANN 32 relu,0.630308076602831,0.630083251336542,0.6127659574468085,0.6244579358196011,0.6185567010309279,0.688738675242015,0.632551908493042,3,2021,[32],relu,0.001,50
ANN 32 relu,0.6483300589390962,0.6485007262917618,0.6382022471910113,0.6740506329113924,0.6556367833782224,0.7091467059951184,0.6234803199768066,4,2022,[32],relu,0.001,50
ANN 32-16 relu,0.5971165398478174,0.5965962677766928,0.6062271062271062,0.5347334410339257,0.5682403433476395,0.6515030391841102,0.6625691056251526,1,2019,"[32, 16]",relu,0.001,50
ANN 32-16 relu,0.6368805848903331,0.6398603709343146,0.6825095057034221,0.5618153364632238,0.6163090128755365,0.6893134331514613,0.6502025723457336,2,2020,"[32, 16]",relu,0.001,50
ANN 32-16 relu,0.6398834304746045,0.6398905768153118,0.6212121212121212,0.6400693842150911,0.6304997864160615,0.6893862010684003,0.6416428089141846,3,2021,"[32, 16]",relu,0.001,50
ANN 32-16 relu,0.6290766208251474,0.6291860591507821,0.6219512195121951,0.6455696202531646,0.6335403726708074,0.684472549135861,0.6407948732376099,4,2022,"[32, 16]",relu,0.001,50
ANN 32-16 slow,0.6071285542651181,0.6071176062238794,0.6033789219629928,0.6058158319870759,0.6045949214026602,0.6452257798776113,0.6813441514968872,1,2019,"[32, 16]",relu,0.0005,100
ANN 32-16 slow,0.6255077173030057,0.6282845345345345,0.6672932330827067,0.5555555555555556,0.6063193851409052,0.6857552975510722,0.6491917967796326,2,2020,"[32, 16]",relu,0.0005,100
ANN 32-16 slow,0.6244796003330558,0.6255453625693269,0.6001596169193935,0.6522116218560278,0.6251039068994181,0.679034120618264,0.6525370478630066,3,2021,"[32, 16]",relu,0.0005,100
ANN 32-16 slow,0.6365422396856582,0.6364814005079102,0.6359262229350441,0.627373417721519,0.631620868180008,0.6905465963102402,0.6388136744499207,4,2022,"[32, 16]",relu,0.0005,100
