Feature,RFImportance,AdaBoostImportance,XGBoostImportance,LightGBMImportance,RFRank,AdaBoostRank,XGBoostRank,LightGBMRank,AverageRank,RankStd,Top10Count,ConsensusScore
PointsDifference,0.1257879406085773,0.5180562516509071,0.2615842008527645,0.12166666666666667,1.0,1.0,1.0,1.0,1.0,0.0,4,50.0
SurfaceWinRateDifference,0.06326690179672254,0.08450646087665765,0.0933450603043049,0.06166666666666667,4.0,3.0,3.0,2.0,3.0,0.816496580927726,4,48.0
RankDifference,0.09772330837364442,0.037454951118796424,0.07203156523482292,0.058333333333333334,2.0,6.0,4.0,4.0,4.0,1.632993161855452,4,47.0
WinRateDifference,0.08179506170233958,0.08853043321335066,0.1439817504693805,0.03666666666666667,3.0,2.0,2.0,10.0,4.25,3.8622100754188224,4,46.75
Player2Points,0.047605820248908304,0.013467825979004408,0.0271789260886033,0.034166666666666665,5.0,11.0,8.0,14.0,9.5,3.872983346207417,2,41.5
Player2SurfaceMatchesBefore,0.024166272577770452,0.01719748530145491,0.026937332087815704,0.0575,16.0,10.0,9.0,5.0,10.0,4.546060565661952,3,41.0
Player1Points,0.046802861678075104,0.03803745724392123,0.013615892044387809,0.035833333333333335,6.0,5.0,17.0,13.0,10.25,5.737304826019502,2,40.75
Player1WinRateBefore,0.03574367867933988,0.04844543754165884,0.021648979070575673,0.0325,11.0,4.0,13.0,15.0,10.75,4.7871355387816905,1,40.25
Recent5WinRateDifference,0.016751444999258538,0.02892179064217032,0.025798574084103354,0.05333333333333334,20.0,7.0,11.0,6.0,11.0,6.377042156569663,2,40.0
SurfaceMatchesDifference,0.038915893834645186,0.0023033779488054015,0.056333944183648656,0.03666666666666667,9.0,21.0,5.0,10.0,11.25,6.849574196011505,3,39.75
Player1SurfaceMatchesBefore,0.02271624847677215,0.012823705556169109,0.025967860084655223,0.05,18.0,13.0,10.0,7.0,12.0,4.69041575982343,2,39.0
Player2WinRateBefore,0.03275735235079257,0.019297403819109615,0.02410530907858331,0.0325,12.0,9.0,12.0,15.0,12.0,2.449489742783178,1,39.0
