Model,Feature,BaselineROCAUC,MeanDecreaseROCAUC,StdDecreaseROCAUC
ANN,Player1Rank,0.7020930386229226,0.021795405808935353,0.0025478319926312185
ANN,Player2Rank,0.7020930386229226,0.001790807841952587,0.0014699491814552214
ANN,Player1Points,0.7020930386229226,0.005821797116771814,0.0031769279079840135
ANN,Player2Points,0.7020930386229226,0.018796992481202996,0.0015576257510011248
ANN,Player1MatchesBefore,0.7020930386229226,0.006587993838960175,0.001395315827301614
ANN,Player2MatchesBefore,0.7020930386229226,0.005470066408960195,0.0005164842404685333
ANN,ExperienceDifference,0.7020930386229226,0.03217101919897036,0.0015364050331688871
ANN,Player1WinRateBefore,0.7020930386229226,0.002179216087928445,0.001142314003892935
ANN,Player2WinRateBefore,0.7020930386229226,0.008367886917544939,0.0011924341210974593
ANN,WinRateDifference,0.7020930386229226,0.003291538639442241,0.002161678996975191
ANN,Player1Recent5WinRate,0.7020930386229226,0.0013866666037346542,0.0017121262323508924
ANN,Player2Recent5WinRate,0.7020930386229226,0.0005101422734487734,0.000633495787567355
ANN,Recent5WinRateDifference,0.7020930386229226,0.00572149929122856,0.0011511407270387132
ANN,Player1SurfaceMatchesBefore,0.7020930386229226,0.008410464327799941,0.002138128641332724
ANN,Player2SurfaceMatchesBefore,0.7020930386229226,0.041678269748445206,0.0012399169776067507
ANN,SurfaceMatchesDifference,0.7020930386229226,0.04874415322675796,0.0035669012600406578
ANN,Player1SurfaceWinRateBefore,0.7020930386229226,0.006100172748254769,0.0017607299660428164
ANN,Player2SurfaceWinRateBefore,0.7020930386229226,0.0034996074618434867,0.000786424007976174
ANN,SurfaceWinRateDifference,0.7020930386229226,0.024297049906624624,0.0020434963277079043
ANN,H2HMatchesBefore,0.7020930386229226,0.0009959967401239982,0.0003671299670735646
ANN,Player1H2HWinRateBefore,0.7020930386229226,0.0021426368809657572,0.00072848877529587
ANN,Player2H2HWinRateBefore,0.7020930386229226,-0.00018053608597771534,0.0002382492977774163
ANN,DifferenceH2HWinRateBefore,0.7020930386229226,0.0009427995601054932,0.001986833296109023
ANN,Player1DaysSinceLastMatch,0.7020930386229226,0.0042400414092355065,0.0010677801788696302
ANN,Player2DaysSinceLastMatch,0.7020930386229226,0.004189499171657933,0.0010750884787347188
ANN,DaysSinceLastMatchDifference,0.7020930386229226,0.009260537564878879,0.003584250330692004
ANN,MissingPlayer1DaysSinceLastMatch,0.7020930386229226,0.002004776536444671,0.0019245645015044893
ANN,MissingPlayer2DaysSinceLastMatch,0.7020930386229226,0.001332584442902629,0.0016407001762560299
ANN,RankDifference,0.7020930386229226,0.005022364448472076,0.0017955712719251898
ANN,PointsDifference,0.7020930386229226,0.005217846877079675,0.001885007255629137
ANN,Series,0.7020930386229226,0.0021519783451093843,0.0018912248197659471
ANN,Court,0.7020930386229226,0.0026433393590693153,0.0006982245966954162
ANN,Surface,0.7020930386229226,0.0006491825923879979,0.001506623905364287
ANN,Round,0.7020930386229226,0.002137523658487036,0.0009582173322706261
ANN,Best of,0.7020930386229226,0.0016376078299955577,0.0008225065454206062
Random Forest,Player1Rank,0.7038152112862193,0.0034311689455905534,0.00044359331355553553
Random Forest,Player2Rank,0.7038152112862193,0.0031245722592733913,0.0007596251237027493
Random Forest,Player1Points,0.7038152112862193,0.00033432608514375833,0.0006330362666555899
Random Forest,Player2Points,0.7038152112862193,0.001414002677755229,0.0006979673085514456
Random Forest,Player1MatchesBefore,0.7038152112862193,0.0004894927211311165,0.0008679555184560302
Random Forest,Player2MatchesBefore,0.7038152112862193,-0.0004572400870349232,0.0004864460340980378
Random Forest,ExperienceDifference,0.7038152112862193,0.0009445695217327558,0.0004675714702593428
Random Forest,Player1WinRateBefore,0.7038152112862193,-0.0008834075143918282,0.0001527404859143718
Random Forest,Player2WinRateBefore,0.7038152112862193,0.0009042537291124771,0.00014071438872727355
Random Forest,WinRateDifference,0.7038152112862193,0.00114595182243112,0.0018533308139916463
Random Forest,Player1Recent5WinRate,0.7038152112862193,0.00035654893668561155,7.859216243615874e-05
Random Forest,Player2Recent5WinRate,0.7038152112862193,0.0003421925812647775,0.0002871175445388136
Random Forest,Recent5WinRateDifference,0.7038152112862193,-8.06315852405574e-05,0.00030642602567033754
Random Forest,Player1SurfaceMatchesBefore,0.7038152112862193,-0.00040945112309968373,0.00028442075243256115
Random Forest,Player2SurfaceMatchesBefore,0.7038152112862193,-0.000821655519841665,0.0007047523915439857
Random Forest,SurfaceMatchesDifference,0.7038152112862193,-0.001589818866060318,0.0014025527173318131
Random Forest,Player1SurfaceWinRateBefore,0.7038152112862193,0.00039745471651494074,0.00025061118356140103
Random Forest,Player2SurfaceWinRateBefore,0.7038152112862193,0.00012311066429400905,0.0007470125532255613
Random Forest,SurfaceWinRateDifference,0.7038152112862193,0.0023174697572556266,0.0011062154758650071
Random Forest,H2HMatchesBefore,0.7038152112862193,-9.970783833416579e-05,0.00019155119965761947
Random Forest,Player1H2HWinRateBefore,0.7038152112862193,-0.0005176154447638082,0.00029266550587703525
Random Forest,Player2H2HWinRateBefore,0.7038152112862193,0.00011583415538215143,0.00013066703521169402
Random Forest,DifferenceH2HWinRateBefore,0.7038152112862193,7.866496120908137e-06,0.0005049778916479702
Random Forest,Player1DaysSinceLastMatch,0.7038152112862193,-0.0001773894875292855,0.0002878397314475008
Random Forest,Player2DaysSinceLastMatch,0.7038152112862193,0.0009758388438138773,0.00029187496685796773
Random Forest,DaysSinceLastMatchDifference,0.7038152112862193,0.0010727934085055235,0.00043322508963588343
Random Forest,MissingPlayer1DaysSinceLastMatch,0.7038152112862193,0.00010029782554310529,3.840812199702673e-05
Random Forest,MissingPlayer2DaysSinceLastMatch,0.7038152112862193,0.0001341237588635691,5.612498287586681e-05
Random Forest,RankDifference,0.7038152112862193,0.006837951753205969,0.00023942918654548307
Random Forest,PointsDifference,0.7038152112862193,0.008297580108463229,0.0007093395056689861
Random Forest,Series,0.7038152112862193,0.00043521389789595116,0.00023689796665354342
Random Forest,Court,0.7038152112862193,2.9696022856851023e-05,3.9774454435528937e-05
