Feature,Importance
PointsDifference,0.125787940608577
RankDifference,0.09772330837364428
WinRateDifference,0.0817950617023394
SurfaceWinRateDifference,0.06326690179672245
Player2Points,0.04760582024890826
Player1Points,0.046802861678075
Player1Rank,0.04383380623841595
Player2Rank,0.04161769706592651
SurfaceMatchesDifference,0.038915893834645145
ExperienceDifference,0.03647668452090591
Player1WinRateBefore,0.03574367867933984
Player2WinRateBefore,0.032757352350792544
Player2SurfaceWinRateBefore,0.03155293237938974
Player1SurfaceWinRateBefore,0.030173892141620053
Player2MatchesBefore,0.024788421908575185
Player2SurfaceMatchesBefore,0.02416627257777043
Player1MatchesBefore,0.023390130121597536
Player1SurfaceMatchesBefore,0.022716248476772123
DaysSinceLastMatchDifference,0.019692856497068572
Recent5WinRateDifference,0.01675144499925857
Player2DaysSinceLastMatch,0.015257636347936827
Player1DaysSinceLastMatch,0.014949979469140172
Player1Recent5WinRate,0.009569614812045376
Player2Recent5WinRate,0.008791330083288895
DifferenceH2HWinRateBefore,0.007968738643714673
Player2H2HWinRateBefore,0.007398559569170417
Player1H2HWinRateBefore,0.006845900408001429
H2HMatchesBefore,0.004945833157181306
Series_Grand Slam,0.0038182857923727523
Best of_3.0,0.003157348694330817
Best of_5.0,0.003100242042877444
Series_ATP250,0.002837900307773622
Surface_Clay,0.0023379316280360742
Surface_Hard,0.0022141804731977037
Series_Masters 1000,0.0020016627587407395
Series_ATP500,0.0019742259892721694
Round_Quarterfinals,0.0019596273919176657
Round_2nd Round,0.001928147444881409
Court_Outdoor,0.0018850482577668884
Surface_Grass,0.0017482607174089191
Round_1st Round,0.0017133186671029086
Court_Indoor,0.0016535588601215138
Round_3rd Round,0.0013346539151863936
Round_Semifinals,0.0012603203061775493
MissingPlayer1DaysSinceLastMatch,0.0009212293838912278
Round_The Final,0.0008715804103603265
MissingPlayer2DaysSinceLastMatch,0.0006942231779833547
Round_4th Round,0.00064546063591897
Series_Masters Cup,0.00035936119522987257
Round_Round Robin,0.0002966332586279141
