Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC-AUC,LogLoss,Fold,ValidationYear,HiddenLayers,Activation,LearningRate,Epochs
ANN 8 sigmoid,0.6219463356027233,0.6215356059954755,0.6307829181494662,0.5726978998384491,0.6003386960203217,0.6801863417000183,0.6401104927062988,1,2019,[8],sigmoid,0.01,50
ANN 8 sigmoid,0.6531275385865151,0.6568143848073426,0.7103174603174603,0.5602503912363067,0.626421697287839,0.7102895148669797,0.6289858222007751,2,2020,[8],sigmoid,0.01,50
ANN 8 sigmoid,0.6386344712739384,0.6378230077557275,0.6251097453906936,0.6175195143104943,0.6212914485165794,0.6955489803811827,0.6328946352005005,3,2021,[8],sigmoid,0.01,50
ANN 8 sigmoid,0.6526522593320235,0.6528729903457544,0.6403249630723782,0.6859177215189873,0.6623376623376623,0.7081177926659354,0.6231850385665894,4,2022,[8],sigmoid,0.01,50
ANN 16 relu,0.6223468161794153,0.6220876891550465,0.6261762189905903,0.5912762520193862,0.6082260074781887,0.6734118546786241,0.6433572769165039,1,2019,[16],relu,0.001,50
ANN 16 relu,0.628757108042242,0.6302341073467834,0.6585365853658537,0.5915492957746479,0.6232481450948063,0.7071781288330584,0.6229685544967651,2,2020,[16],relu,0.001,50
ANN 16 relu,0.63488759367194,0.6349200783002812,0.6159663865546219,0.6357328707718994,0.6256935552710201,0.6916471598788136,0.6320165991783142,3,2021,[16],relu,0.001,50
ANN 16 relu,0.6538310412573674,0.6538812142412475,0.6485647788983708,0.6613924050632911,0.6549157853505679,0.7086674522475518,0.6212303638458252,4,2022,[16],relu,0.001,50
ANN 32 relu,0.6143372046455747,0.6144143427419511,0.6083530338849488,0.6235864297253635,0.6158755484642999,0.6618620568417891,0.6494733691215515,1,2019,[32],relu,0.001,50
ANN 32 relu,0.644191714053615,0.6464056486063529,0.6823956442831216,0.5884194053208138,0.6319327731092437,0.7078812967897474,0.6297488212585449,2,2020,[32],relu,0.001,50
ANN 32 relu,0.6290591174021649,0.6285156485986707,0.6133217993079585,0.6149176062445794,0.6141186660892161,0.6836428379477216,0.6360801458358765,3,2021,[32],relu,0.001,50
ANN 32 relu,0.6404715127701375,0.640421348037036,0.6394884092725819,0.6329113924050633,0.6361829025844931,0.7021227976561033,0.626153290271759,4,2022,[32],relu,0.001,50
ANN 32-16 relu,0.5895074088906688,0.5890573332426561,0.5956873315363881,0.5355411954765751,0.5640153126329222,0.6365303899163504,0.6851712465286255,1,2019,"[32, 16]",relu,0.001,50
ANN 32-16 relu,0.6376929325751421,0.6404564776043649,0.6810506566604128,0.568075117370892,0.6194539249146758,0.696797149261938,0.6446459889411926,2,2020,"[32, 16]",relu,0.001,50
ANN 32-16 relu,0.6153205661948377,0.6159050397299626,0.593469387755102,0.6305290546400694,0.6114381833473507,0.6678869548370701,0.6596041321754456,3,2021,"[32, 16]",relu,0.001,50
ANN 32-16 relu,0.6330058939096267,0.6332519960671548,0.6209677419354839,0.6700949367088608,0.6445966514459666,0.6978644798861648,0.6345244646072388,4,2022,"[32, 16]",relu,0.001,50
ANN 32-16 slow,0.6023227873448138,0.6024125488726725,0.596229379418696,0.6130856219709209,0.6045400238948626,0.6430302789222926,0.6871200799942017,1,2019,"[32, 16]",relu,0.0005,100
ANN 32-16 slow,0.6051990251827782,0.6069833037262615,0.6358792184724689,0.5602503912363067,0.5956738768718802,0.6718426172651525,0.6628716588020325,2,2020,"[32, 16]",relu,0.0005,100
ANN 32-16 slow,0.6261448792672772,0.6260467176863781,0.6077768385460693,0.6235906331309627,0.615582191780822,0.6751149401741687,0.6535017490386963,3,2021,"[32, 16]",relu,0.0005,100
ANN 32-16 slow,0.631041257367387,0.6311324099052362,0.6245210727969349,0.6447784810126582,0.6344881276761386,0.6859899801381437,0.6445803642272949,4,2022,"[32, 16]",relu,0.0005,100
