Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC-AUC,LogLoss,Fold,ValidationYear,Neighbors,Weights
kNN k=11,0.6127352823388066,0.6127584140553123,0.6081404628890662,0.6155088852988692,0.6118024889602569,0.6461239976851643,0.7449877140362426,1,2019,11,uniform
kNN k=11,0.6116978066612511,0.6123112549168888,0.6339434276206323,0.596244131455399,0.614516129032258,0.6515749904834411,0.8063800161361256,2,2020,11,uniform
kNN k=11,0.5965861781848459,0.5965240535880569,0.5774410774410774,0.5949696444058976,0.5860743272105937,0.6343201187142254,0.8347910409190102,3,2021,11,uniform
kNN k=11,0.6180746561886051,0.6179106265872193,0.6208609271523179,0.5933544303797469,0.6067961165048543,0.6646391021650411,0.7093786481577444,4,2022,11,uniform
kNN k=31,0.618742490989187,0.618567316933587,0.6197654941373534,0.5977382875605816,0.6085526315789473,0.6647989082804133,0.6483972859878713,1,2019,31,uniform
kNN k=31,0.6295694557270511,0.6305817260922895,0.6553480475382003,0.6040688575899843,0.6286644951140065,0.6692665376644251,0.646794167278569,2,2020,31,uniform
kNN k=31,0.6161532056619484,0.6158057408632891,0.5988023952095808,0.6071118820468343,0.602928509905254,0.6673772669479903,0.6467521228242988,3,2021,31,uniform
kNN k=31,0.6436149312377211,0.6433444253401713,0.6529562982005142,0.6028481012658228,0.6269025092554504,0.7010142145673376,0.6255739991895175,4,2022,31,uniform
kNN k=51,0.6223468161794153,0.622155055490613,0.624053826745164,0.5993537964458805,0.611454470539761,0.6733958150749177,0.6420705141474401,1,2019,51,uniform
kNN k=51,0.6303818034118602,0.6311157107812038,0.6538461538461539,0.6118935837245696,0.6321746160064673,0.6830404348009982,0.6371933080450064,2,2020,51,uniform
kNN k=51,0.6215653621981682,0.6208432487533826,0.606457242582897,0.6027753686036427,0.6046107003044802,0.6732796471348805,0.6422354996920532,3,2021,51,uniform
kNN k=51,0.6475442043222004,0.6472528755224853,0.6583261432269197,0.6036392405063291,0.6297977713578209,0.7070357661636973,0.622723314982983,4,2022,51,uniform
kNN k=75,0.6243492190628754,0.6240936019945569,0.6282051282051282,0.5936995153473344,0.6104651162790697,0.6746244487188205,0.6408825644798881,1,2019,75,uniform
kNN k=75,0.6320064987814785,0.6326185340269848,0.654485049833887,0.6165884194053208,0.6349717969379532,0.6930737956266125,0.6309488611351248,2,2020,75,uniform
kNN k=75,0.6240632805995004,0.6235451500836402,0.6079447322970639,0.6105810928013877,0.6092600605798356,0.6795663764315877,0.6373503830363502,3,2021,75,uniform
kNN k=75,0.650294695481336,0.6500166133064555,0.6606529209621993,0.6083860759493671,0.6334431630971994,0.7150052125020998,0.6194380547518292,4,2022,75,uniform
kNN k=101,0.6223468161794153,0.6221820020248395,0.6232247284878863,0.6025848142164781,0.6127310061601643,0.6755075892988898,0.6403619120370153,1,2019,101,uniform
kNN k=101,0.6320064987814785,0.6329291439326651,0.6570945945945946,0.6087636932707355,0.6320064987814785,0.695447648352578,0.6293999006734642,2,2020,101,uniform
kNN k=101,0.6153205661948377,0.6145717962053945,0.6,0.5958369470945359,0.597911227154047,0.6779296811256463,0.6376931837204786,3,2021,101,uniform
kNN k=101,0.6581532416502947,0.6577862676508661,0.6743362831858407,0.6028481012658228,0.6365914786967418,0.7197261089536459,0.619154685951739,4,2022,101,uniform
kNN k=151,0.6283540248297957,0.628132374207804,0.6313559322033898,0.6017770597738288,0.6162117452440034,0.6784216645002509,0.6389711396125454,1,2019,151,uniform
kNN k=151,0.6320064987814785,0.6329912659138011,0.6576271186440678,0.6071987480438185,0.6314076484947111,0.6920481220657277,0.6317494320866207,2,2020,151,uniform
kNN k=151,0.6261448792672772,0.6257800689814644,0.609254498714653,0.616652211621856,0.6129310344827587,0.682196407603099,0.6365066269870441,3,2021,151,uniform
kNN k=151,0.6620825147347741,0.6617262151799919,0.6781305114638448,0.6083860759493671,0.6413678065054211,0.7218487830907421,0.6198243125810193,4,2022,151,uniform
kNN k=11 distance,0.6123348017621145,0.6123612734675442,0.6076555023923444,0.6155088852988692,0.6115569823434992,0.6453900254195639,0.7454701961065325,1,2019,11,distance
kNN k=11 distance,0.6141348497156783,0.6146586727572643,0.6357615894039735,0.6009389671361502,0.6178600160901045,0.6538060948272216,0.8067043050730948,2,2020,11,distance
kNN k=11 distance,0.5940882597835138,0.5940888009627129,0.5746644295302014,0.5941023417172593,0.5842217484008528,0.6336135690859712,0.8360087761004787,3,2021,11,distance
kNN k=11 distance,0.6172888015717093,0.617124736904515,0.6200331125827815,0.5925632911392406,0.6059870550161812,0.6638155391851697,0.7097103494681986,4,2022,11,distance
kNN k=31 distance,0.618742490989187,0.6185605803000304,0.6199664429530202,0.5969305331179321,0.6082304526748972,0.665093074612387,0.648435742875765,1,2019,31,distance
kNN k=31 distance,0.6336311941510967,0.6347425770841264,0.6604095563139932,0.6056338028169014,0.6318367346938776,0.6702750285496764,0.6461703002445477,2,2020,31,distance
kNN k=31 distance,0.6174021648626145,0.6172066881605892,0.599320882852292,0.6123156981786644,0.6057486057486058,0.6665349625754375,0.6474551334456051,3,2021,31,distance
