Model,Neighbors,Weights,MeanAccuracy,StdAccuracy,MeanBalancedAccuracy,MeanF1Score,MeanROC_AUC,MeanLogLoss
kNN k=151,151,uniform,0.6371469794033314,0.016798489225972022,0.6371574810707653,0.6254795586817236,0.6936287443149549,0.6317628778168074
kNN k=151 distance,151,distance,0.635203674976518,0.017568241486047857,0.6351972486576933,0.6235465788229165,0.6938531618119693,0.6314525628663448
kNN k=75,75,uniform,0.6326784234812977,0.012306920209096588,0.6325684748529093,0.6220350342235145,0.6905674583197802,0.6321549658507981
kNN k=101,101,uniform,0.6319567807015065,0.018756084251575624,0.6318673024534414,0.6198100526981078,0.69215275693269,0.6316524205956743
kNN k=101 distance,101,distance,0.6316478803704187,0.01861038328257101,0.6315223505358638,0.6191439320204852,0.6922846487032244,0.631514455786797
kNN k=51 distance,51,distance,0.631345338133886,0.012960756493823423,0.6312289242185866,0.6200110769144752,0.6842813276479189,0.6359709352014508
kNN k=75 distance,75,distance,0.6306406213211678,0.014309304749847629,0.630421421719729,0.6197947171796294,0.6905329660867422,0.6321645583910649
kNN k=51,51,uniform,0.630459546527911,0.012066682567285748,0.6303417226369212,0.6195093895521323,0.6841879157936235,0.6360556592168707
kNN k=31 distance,31,distance,0.6280529998288189,0.0120846610943193,0.6281734524532919,0.6181397563187216,0.6757635966006812,0.6419126100299424
kNN k=31,31,uniform,0.6270200209039769,0.012496610765813503,0.6270748023073343,0.6167620364634145,0.6756142318650415,0.6418793938200642
kNN k=11,11,uniform,0.6097734808433772,0.009224781144135432,0.6098760872868694,0.6047972654269907,0.649164552261968,0.7738843548122807
kNN k=11 distance,11,distance,0.609461678208254,0.010451462817909603,0.609558371023009,0.6049064504626595,0.6491563071294816,0.7744734066870762
