Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC-AUC,LogLoss,Fold,ValidationYear,NumLeaves,NEstimators,LearningRate
LightGBM leaves 7 est 100 lr 0.05,0.6363636363636364,0.636102132497392,0.6412671232876712,0.6050080775444265,0.6226101413133832,0.693511723667141,0.6306531313028002,1,2019,7,100,0.05
LightGBM leaves 7 est 100 lr 0.05,0.627944760357433,0.6294516347333249,0.6579406631762653,0.5899843505477308,0.6221122112211221,0.7083478725204078,0.6213705786447936,2,2020,7,100,0.05
LightGBM leaves 7 est 100 lr 0.05,0.6427976686094921,0.6414262372604067,0.6334841628959276,0.6071118820468343,0.6200177147918512,0.7001604753013164,0.6253737870229851,3,2021,7,100,0.05
LightGBM leaves 7 est 100 lr 0.05,0.6577603143418468,0.657390698030613,0.6740478299379983,0.6020569620253164,0.6360217300459674,0.719930841707922,0.6138057313192852,4,2022,7,100,0.05
LightGBM leaves 7 est 200 lr 0.05,0.6335602723267921,0.6334164612528086,0.6342477140482128,0.6163166397415186,0.6251536255632937,0.689598381154877,0.6342119730073268,1,2019,7,200,0.05
LightGBM leaves 7 est 200 lr 0.05,0.6401299756295694,0.641375089878611,0.6683848797250859,0.6087636932707355,0.6371826371826372,0.7120421477815844,0.6188322105669756,2,2020,7,200,0.05
LightGBM leaves 7 est 200 lr 0.05,0.6482098251457119,0.6473636845295838,0.6355633802816901,0.6261925411968777,0.6308431629532547,0.7021332590790759,0.6246228582772283,3,2021,7,200,0.05
LightGBM leaves 7 est 200 lr 0.05,0.6577603143418468,0.6574431936086325,0.6710182767624021,0.6099683544303798,0.6390385412349772,0.7192011531734503,0.6129606119028451,4,2022,7,200,0.05
LightGBM leaves 7 est 100 lr 0.10,0.6295554665598718,0.6293305326046648,0.6327396098388465,0.6025848142164781,0.6172941663218866,0.689394357395733,0.6348554045232019,1,2019,7,100,0.1
LightGBM leaves 7 est 100 lr 0.10,0.6328188464662876,0.6343328363574843,0.6631762652705061,0.594679186228482,0.6270627062706271,0.7123937317599289,0.617940451262984,2,2020,7,100,0.1
LightGBM leaves 7 est 100 lr 0.10,0.6490424646128227,0.6478976763370801,0.6386404293381037,0.619254119687771,0.6287978863936592,0.7044181746090715,0.6225918411560116,3,2021,7,100,0.1
LightGBM leaves 7 est 100 lr 0.10,0.6534381139489195,0.6531496729216693,0.6646551724137931,0.6099683544303798,0.6361386138613861,0.7170469816895424,0.6137597406301649,4,2022,7,100,0.1
LightGBM leaves 7 est 200 lr 0.10,0.6247496996395675,0.624450322780985,0.6300777873811582,0.5888529886914378,0.6087682672233821,0.6821264921643327,0.6418446887378471,1,2019,7,200,0.1
LightGBM leaves 7 est 200 lr 0.10,0.644191714053615,0.6454116969081758,0.6723842195540308,0.6134585289514867,0.6415711947626841,0.7086981347544727,0.6226111340490894,2,2020,7,200,0.1
