Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC-AUC,LogLoss,Fold,ValidationYear,NEstimators,MaxDepth,MinSamplesLeaf
RF 100,0.6075290348418102,0.6072452814693816,0.6110154905335629,0.5735056542810986,0.5916666666666667,0.6612313796240574,0.6474743962337939,1,2019,100,,1
RF 100,0.6263200649878148,0.6288185192234488,0.6654343807763401,0.5633802816901409,0.6101694915254238,0.6908585522141861,0.6305282394242313,2,2020,100,,1
RF 100,0.6369691923397169,0.6355884360567379,0.6271493212669683,0.601040763226366,0.6138175376439327,0.6791486962336564,0.6418864191317338,3,2021,100,,1
RF 100,0.6479371316306484,0.647721938951966,0.6548821548821548,0.615506329113924,0.634584013050571,0.6991123306554412,0.6290403636796824,4,2022,100,,1
RF 200,0.6167400881057269,0.6165748773611901,0.6173767752715121,0.5969305331179321,0.6069815195071868,0.6696521715698667,0.6423852695337682,1,2019,200,,1
RF 200,0.6181965881397238,0.6198134754472783,0.648506151142355,0.5774647887323944,0.6109271523178808,0.687424660576069,0.6326602351798011,2,2020,200,,1
RF 200,0.6253122398001665,0.6243461377948847,0.6118479221927497,0.6001734605377277,0.6059544658493871,0.6789181562075333,0.6413161106937908,3,2021,200,,1
RF 200,0.6506876227897839,0.6504489298313224,0.6590330788804071,0.6147151898734177,0.6361031518624641,0.7046765531279953,0.6251130145802694,4,2022,200,,1
RF 200 depth 10,0.6267521025230276,0.6264831821547219,0.6312178387650086,0.5945072697899838,0.6123128119800333,0.6867722029818265,0.6333089165708351,1,2019,200,10.0,1
RF 200 depth 10,0.6352558895207149,0.6374257179714926,0.6721014492753623,0.5805946791862285,0.6230058774139379,0.7061788901577635,0.6217037751353546,2,2020,200,10.0,1
RF 200 depth 10,0.6419650291423813,0.6405922656598826,0.632579185520362,0.606244579358196,0.6191319751992914,0.6930074849124745,0.6309288660646131,3,2021,200,10.0,1
RF 200 depth 10,0.662475442043222,0.6620955370112354,0.68,0.6052215189873418,0.6404353285893679,0.7229616893447564,0.6136308852971556,4,2022,200,10.0,1
RF 200 depth 15,0.6235482579094914,0.6233330039868039,0.626057529610829,0.5977382875605816,0.6115702479338843,0.6806906268405446,0.636742410356995,1,2019,200,15.0,1
RF 200 depth 15,0.6376929325751421,0.6393382819439157,0.6695957820738138,0.596244131455399,0.6307947019867549,0.7002971281140296,0.6273162184118402,2,2020,200,15.0,1
RF 200 depth 15,0.6369691923397169,0.6361883956427935,0.6231375985977213,0.616652211621856,0.6198779424585876,0.6869155341619348,0.6356577899152901,3,2021,200,15.0,1
RF 200 depth 15,0.6597249508840864,0.6594157921520964,0.6727430555555556,0.6131329113924051,0.6415562913907285,0.7116312908230318,0.6199181621363073,4,2022,200,15.0,1
RF 300 depth 10 leaf 2,0.6243492190628754,0.6239992891247638,0.6313485113835376,0.5823909531502424,0.6058823529411764,0.6888855811661689,0.6308360510070897,1,2019,300,10.0,2
RF 300 depth 10 leaf 2,0.6385052802599512,0.6404934864441907,0.6738351254480287,0.5884194053208138,0.6282372598162071,0.708655838937529,0.6203896229027831,2,2020,300,10.0,2
RF 300 depth 10 leaf 2,0.6411323896752706,0.6401915982048432,0.6286472148541115,0.616652211621856,0.6225919439579685,0.6947775045708727,0.6288262209971274,3,2021,300,10.0,2
RF 300 depth 10 leaf 2,0.6530451866404715,0.6526911086077926,0.66784140969163,0.5996835443037974,0.6319299708211755,0.7222687477148984,0.6140868167312263,4,2022,300,10.0,2
RF 300 depth 15 leaf 2,0.6247496996395675,0.6245715821850046,0.6261525565800503,0.6033925686591276,0.6145619086795557,0.6822349198853873,0.63511049617827,1,2019,300,15.0,2
RF 300 depth 15 leaf 2,0.6401299756295694,0.6421205536522439,0.6756272401433692,0.5899843505477308,0.6299081035923141,0.7043733874719791,0.6252079672130223,2,2020,300,15.0,2
RF 300 depth 15 leaf 2,0.6323896752706079,0.6315848862958537,0.618421052631579,0.611448395490026,0.6149149585695596,0.6876390965330809,0.6344291083220163,3,2021,300,15.0,2
RF 300 depth 15 leaf 2,0.6554027504911591,0.6550750254449155,0.6689956331877729,0.6060126582278481,0.6359485263594853,0.7148662536191068,0.6186511611408031,4,2022,300,15.0,2
