Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC-AUC,LogLoss,Fold,ValidationYear,MaxDepth,NEstimators,LearningRate
XGBoost depth 2 est 100 lr 0.05,0.6343612334801763,0.6341231661921083,0.6382978723404256,0.6058158319870759,0.6216328222130129,0.6906752801477183,0.6330007910728455,1,2019,2,100,0.05
XGBoost depth 2 est 100 lr 0.05,0.6385052802599512,0.638940436915789,0.6595394736842105,0.6275430359937402,0.6431435445068163,0.70379975045468,0.6243532299995422,2,2020,2,100,0.05
XGBoost depth 2 est 100 lr 0.05,0.6390507910074937,0.6382899901881609,0.6252189141856392,0.619254119687771,0.6222222222222222,0.694307050150094,0.6296148896217346,3,2021,2,100,0.05
XGBoost depth 2 est 100 lr 0.05,0.6518664047151277,0.6516513873654878,0.6590909090909091,0.6194620253164557,0.6386623164763459,0.7154254859237739,0.6175750494003296,4,2022,2,100,0.05
XGBoost depth 2 est 200 lr 0.05,0.631958350020024,0.631774005833283,0.6339210747271201,0.6098546042003231,0.6216550020584602,0.6891730108645859,0.633628249168396,1,2019,2,200,0.05
XGBoost depth 2 est 200 lr 0.05,0.6385052802599512,0.639810144651694,0.6672413793103448,0.6056338028169014,0.6349466776045939,0.7080769149431122,0.6216733455657959,2,2020,2,200,0.05
XGBoost depth 2 est 200 lr 0.05,0.6419650291423813,0.6413588806865094,0.6272806255430061,0.6261925411968777,0.6267361111111112,0.6999868758840551,0.6255939602851868,3,2021,2,200,0.05
XGBoost depth 2 est 200 lr 0.05,0.6581532416502947,0.657917506595915,0.6669491525423729,0.622626582278481,0.644026186579378,0.7181012164151819,0.6150057315826416,4,2022,2,200,0.05
XGBoost depth 2 est 100 lr 0.10,0.6371645975170204,0.6370244097105044,0.6378737541528239,0.6203554119547657,0.628992628992629,0.6891313078949496,0.6335391402244568,1,2019,2,100,0.1
XGBoost depth 2 est 100 lr 0.10,0.6401299756295694,0.6414993338408832,0.6695501730103807,0.6056338028169014,0.6359901396877568,0.7072785813982997,0.6223246455192566,2,2020,2,100,0.1
XGBoost depth 2 est 100 lr 0.10,0.6394671107410491,0.6388236347968228,0.6248912097476066,0.6227233304423244,0.6238053866203301,0.6995257958318086,0.625967264175415,3,2021,2,100,0.1
XGBoost depth 2 est 100 lr 0.10,0.6526522593320235,0.6524005301435785,0.661839863713799,0.6147151898734177,0.6374077112387203,0.7189945676340675,0.6139986515045166,4,2022,2,100,0.1
XGBoost depth 2 est 200 lr 0.10,0.6287545054064878,0.6286507741995917,0.6279835390946502,0.6163166397415186,0.6220953933958419,0.686656397043067,0.6381137371063232,1,2019,2,200,0.1
